City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bubaque,GW,78.49,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
1,Turbat,PK,54.16,clear sky,26.0,63.04,Mubashar Quarters
2,Rikitea,PF,78.62,moderate rain,-23.12,-134.97,Pension Maro'i
3,Mataura,NZ,76.32,scattered clouds,-46.19,168.86,Ellie's Villa
4,Hilo,US,82.4,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
5,Te Anau,NZ,70.41,overcast clouds,-45.42,167.72,Kingsgate Hotel Te Anau
6,Vaini,TO,84.2,moderate rain,-21.2,-175.2,Keleti Beach Resort
7,Jacmel,HT,77.0,light rain,18.23,-72.53,Hotel Florita
8,Trinidad,BO,73.49,overcast clouds,-14.83,-64.9,Hotel Piesta
10,Cidreira,BR,73.29,broken clouds,-30.18,-50.21,Hotel Castelo
14,Saint-Philippe,RE,77.0,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
15,Busselton,AU,77.0,clear sky,-33.65,115.33,Observatory Guest House
17,Oistins,BB,78.8,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
18,Ushuaia,AR,46.4,light intensity drizzle,-54.8,-68.3,Albatros Hotel
19,Somerset East,ZA,65.66,clear sky,-32.72,25.59,Mbali Lodge
20,Punta Arenas,CL,50.0,clear sky,-53.15,-70.92,Hotel Dreams Del Estrecho
21,Hasaki,JP,48.2,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
22,Arraial Do Cabo,BR,77.0,scattered clouds,-22.97,-42.03,Pousada Porto Praia
24,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
26,Kruisfontein,ZA,63.0,clear sky,-34.0,24.73,Oyster Bay House Rental
28,Port Hedland,AU,91.4,overcast clouds,-20.32,118.57,The Esplanade Hotel
31,Castro,BR,63.86,clear sky,-24.79,-50.01,CHACARA BAILLY
33,Tuatapere,NZ,73.99,overcast clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
34,Moranbah,AU,75.27,moderate rain,-22.0,148.05,Direct Hotels - Monterey Moranbah
35,Port Alfred,ZA,64.0,clear sky,-33.59,26.89,The Halyards Hotel
37,East London,ZA,73.0,scattered clouds,-33.02,27.91,Tu Casa
38,Carnarvon,AU,80.6,overcast clouds,-24.87,113.63,Hospitality Carnarvon
39,Guerrero Negro,MX,58.51,broken clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
40,Kaduna,NG,65.62,broken clouds,10.52,7.44,HAMDALA HOTEL
42,Katsuura,JP,57.99,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
43,Hermanus,ZA,64.99,overcast clouds,-34.42,19.23,Misty Waves Boutique Hotel
44,Virginia Beach,US,51.01,overcast clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
45,Dunedin,NZ,61.54,clear sky,-45.87,170.5,Scenic Hotel Southern Cross
46,Victoria,HK,68.0,clear sky,22.29,114.16,Mini Hotel Central
47,Muroto,JP,48.2,broken clouds,33.28,134.15,Oota Ryokan
48,Fortuna,US,50.0,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
49,Havelock,US,51.01,clear sky,34.88,-76.9,Sherwood Motel
50,Chuy,UY,65.1,light rain,-33.7,-53.46,Nuevo Hotel Plaza
54,Si Racha,TH,82.99,light rain,13.17,100.93,Cape Racha Hotel & Serviced Apartments
56,Robertsport,LR,80.06,broken clouds,6.75,-11.37,Kwepunha Retreat
59,Makakilo City,US,82.4,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
60,Mar Del Plata,AR,69.8,broken clouds,-38.0,-57.56,Gran Hotel Mar del Plata
61,Pemangkat,ID,78.87,broken clouds,1.17,108.97,Kost H.Syamsuddin
62,Souillac,MU,77.0,broken clouds,-20.52,57.52,Bils' Villa
63,Ugoofaaru,MV,81.73,clear sky,5.67,73.0,Ungoofaaru Inn
66,Hithadhoo,MV,81.9,broken clouds,-0.6,73.08,Scoop Guest House
67,Shimoda,JP,53.6,broken clouds,34.67,138.95,Shimoda Tokyu Hotel
69,Mahebourg,MU,77.0,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
70,Buala,SB,84.67,moderate rain,-8.14,159.59,Maringe Lagoon Lodge
72,Lamesa,US,46.4,broken clouds,32.74,-101.95,Shiloh Inn Lamesa
73,Kapaa,US,80.01,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
78,Hobart,AU,68.0,broken clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
79,Bredasdorp,ZA,66.2,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
81,Cape Town,ZA,64.99,scattered clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
83,Tura,IN,56.28,clear sky,25.52,90.22,Hotel RIKMAN Continental
84,New Norfolk,AU,68.0,moderate rain,-42.78,147.06,The Shingles Riverside Cottages
85,Ponta Do Sol,PT,59.0,broken clouds,32.67,-17.1,Hotel do Campo
87,Lorengau,PG,86.07,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
89,Senanga,ZM,70.29,overcast clouds,-16.12,23.27,Christopher Nasilele House
90,Atuona,PF,78.64,clear sky,-9.8,-139.03,Villa Enata
94,Lebu,CL,57.94,few clouds,-37.62,-73.65,Hostal Las Lilas
95,The Valley,AI,78.8,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
96,Port Elizabeth,ZA,64.4,clear sky,-33.92,25.57,39 On Nile Guest House
99,Waingapu,ID,84.43,overcast clouds,-9.66,120.26,Pondok Wisata Elim
100,Kinkala,CG,77.0,thunderstorm,-4.36,14.76,Hotel la Vernande
102,Gat,IL,55.99,broken clouds,31.61,34.76,OlusHome
104,Cave Spring,US,48.2,overcast clouds,37.23,-80.01,Holiday Inn Roanoke-Tanglewood-Rt 419&I581
105,Butaritari,KI,81.55,overcast clouds,3.07,172.79,Isles Sunset Lodge
108,Contamana,PE,72.97,heavy intensity rain,-7.33,-75.02,Shiringal Touristic Park
109,Constitucion,CL,57.72,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
110,Bluff,NZ,73.99,scattered clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
112,Charlestown,AU,70.0,light rain,-32.95,151.67,Panorama Motor Inn Hotel
115,Buchanan,LR,78.8,few clouds,5.88,-10.05,Kamaneahn Hotel Inc
116,Horizontina,BR,77.0,clear sky,-27.63,-54.31,Hotel Avenida
118,Dhidhdhoo,MV,81.45,clear sky,6.88,73.1,Dhidhoo beach
122,Cabo San Lucas,MX,78.8,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
123,Kambove,CD,61.25,light rain,-10.88,26.6,Couvant des soeurs catholiques
125,Airai,TL,71.35,overcast clouds,-8.93,125.41,Juvinal Martin
126,Puerto Leguizamo,CO,73.11,overcast clouds,-0.19,-74.78,la casona de juancho
128,Puerto Ayora,EC,73.99,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
134,Luganville,VU,86.0,light rain,-15.53,167.17,The Espiritu Hotel
135,Bambous Virieux,MU,77.0,broken clouds,-20.34,57.76,Casa Tia Villa
136,Rocafuerte,EC,78.8,scattered clouds,-0.92,-80.43,"Complejo turístico deportivo ""Mis Brads"""
137,Florianopolis,BR,75.0,broken clouds,-27.61,-48.5,Hotel Boutique Quinta das Videiras
141,Blackwater,AU,83.93,light rain,-23.58,148.88,Blackwater Motor Inn
144,Marrakesh,MA,48.2,clear sky,31.63,-8.01,Les Jardins de La Koutoubia
145,Kadoma,JP,46.0,broken clouds,34.73,135.58,Hotel Agora Osaka Moriguchi
148,Liwale,TZ,69.4,overcast clouds,-9.77,37.93,Samoma Lodge
149,Vilhena,BR,69.12,overcast clouds,-12.74,-60.15,Hotel Mirage
150,Pine Bluff,US,46.4,clear sky,34.23,-92.0,Holiday Inn Express & Suites Pine Bluff/Pines Mall
152,Avarua,CK,84.2,overcast clouds,-21.21,-159.78,Paradise Inn
153,Ibipeba,BR,70.75,clear sky,-11.64,-42.01,Quitanda santos
154,Flinders,AU,62.01,overcast clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
155,Mount Isa,AU,84.2,overcast clouds,-20.73,139.5,ibis Styles Mt Isa Verona
156,San Patricio,US,71.6,broken clouds,28.02,-97.52,"Motel 6 Sinton, TX"
157,Kavaratti,IN,81.21,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
158,Port Lincoln,AU,64.53,broken clouds,-34.73,135.87,Port Lincoln Hotel
159,Alenquer,BR,75.2,clear sky,-1.94,-54.74,Josilene Castro
163,Sira,IN,60.13,clear sky,13.75,76.91,Shabaaz Rolex Shabaaz Rolex
165,Tecoanapa,MX,77.18,clear sky,16.52,-98.75,Hotel Manglares
169,Bonthe,SL,78.48,overcast clouds,7.53,-12.51,Bonthe Holiday Village
170,Thung Song,TH,75.2,few clouds,8.16,99.68,Jasmine Resort And Spa
171,Rabaul,PG,84.0,moderate rain,-4.2,152.17,Rabaul Hotel
173,Porto Belo,BR,77.0,moderate rain,-27.16,-48.55,Costa Verde Beach Hotel
174,Kahului,US,84.2,scattered clouds,20.89,-156.47,Maui Seaside Hotel
176,Rawson,AR,79.43,overcast clouds,-43.3,-65.1,Hotel Punta León
178,San Quintin,MX,58.3,clear sky,30.48,-115.95,Old Mill Hotel
179,Son La,VN,63.18,clear sky,21.32,103.9,Galaxy Grand Hotel
180,Labrea,BR,74.3,light rain,-7.26,-64.8,Hotel Novo Horizonte
181,Najran,SA,50.0,clear sky,17.49,44.13,محمد هادي ال فطيح
182,Lompoc,US,51.8,overcast clouds,34.64,-120.46,Holiday Inn Express Lompoc
184,Chimbote,PE,70.93,clear sky,-9.09,-78.58,Hotel Briliá
186,Itarema,BR,80.17,overcast clouds,-2.92,-39.92,Windvillage
187,Grand Gaube,MU,73.99,overcast clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
190,Las Vegas,US,50.0,broken clouds,36.17,-115.14,Plaza Hotel & Casino
191,Kavieng,PG,86.0,overcast clouds,-2.57,150.8,Nusa Island Retreat
193,Santa Isabel Do Rio Negro,BR,73.33,overcast clouds,-0.41,-65.02,Hotel GSA
194,Abu Dhabi,AE,62.6,clear sky,24.47,54.37,Beach Rotana
195,Tarija,BO,73.4,light rain,-21.54,-64.73,Hostal Granny
196,Necochea,AR,69.01,light rain,-38.55,-58.74,dyd -mar Hotel
198,Barra Do Garcas,BR,75.9,broken clouds,-15.89,-52.26,Hotel Pousada Tropical
199,Pimentel,PE,71.6,clear sky,-6.84,-79.93,Casona Del Muelle
200,Mildura,AU,69.01,clear sky,-34.2,142.15,Mercure Hotel Mildura
202,Lazaro Cardenas,MX,72.9,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
204,Bahia De Caraquez,EC,78.8,scattered clouds,-0.6,-80.42,La Piedra Hotel
205,Palora,EC,64.17,overcast clouds,-1.7,-77.93,Rancho grande
206,Oussouye,SN,73.4,clear sky,12.48,-16.55,Auberge du Routard
207,Eyl,SO,77.59,scattered clouds,7.98,49.82,Amiin Hotel
209,Sabha,LY,50.02,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
212,Lata,PT,54.0,broken clouds,40.16,-8.33,Casa Maquia
213,Namibe,AO,71.02,overcast clouds,-15.2,12.15,Hotel Chik Chik Namibe
214,Bairiki,KI,80.6,light rain,1.33,172.98,Tarawa Boutique Hotel
215,Fukue,JP,53.6,light rain,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
220,San Cristobal,VE,64.85,broken clouds,7.77,-72.22,Pirineos
222,Biloela,AU,86.5,overcast clouds,-24.42,150.5,Silo Motor Inn
225,Rio Das Ostras,BR,77.0,clear sky,-22.53,-41.95,Pousada Girassol
228,Teguise,ES,60.8,few clouds,29.06,-13.56,B&B La Casona de Nazaret
235,Kumbo,CM,60.17,overcast clouds,6.2,10.67,Western Inn Resort
236,Mount Gambier,AU,60.8,overcast clouds,-37.83,140.77,Commodore on the Park
237,Pedro Juan Caballero,PY,75.06,scattered clouds,-22.55,-55.73,Hotel Pousada do Bosque
238,Galeana,MX,57.0,clear sky,24.83,-100.07,Albergue Rural Juvenil Galeana
241,Saint-Pierre,RE,77.0,clear sky,-21.34,55.48,Lindsey Hôtel
242,Mogadishu,SO,78.85,light rain,2.04,45.34,Hotel Juba
243,San Vicente,AR,70.03,light rain,-26.62,-54.13,Complejo Turístico Farelluk
244,San Francisco,US,55.4,broken clouds,37.77,-122.42,The Clift Royal Sonesta Hotel
245,Bayir,TR,46.4,mist,37.27,28.22,Hotel Babadag
248,Manzil Salim,TN,48.2,clear sky,35.86,8.48,mohamed ben khlil omri
249,Thanatpin,MM,73.4,clear sky,17.21,96.3,Lo Ta Ya Garden
250,Carutapera,BR,79.16,moderate rain,-1.2,-46.02,Lidera
251,Wanning,CN,72.1,clear sky,18.8,110.4,Paradise Hotel
252,Asilah,MA,55.4,light intensity drizzle,35.47,-6.03,Hotel Zelis
255,Simao,CN,51.53,clear sky,22.79,100.97,Changyu Hotel
256,Ambikapur,IN,52.68,clear sky,23.12,83.2,STARiHOTEL Ambikapur
257,Bathsheba,BB,78.8,scattered clouds,13.22,-59.52,Atlantis Hotel
258,Vao,NC,77.85,broken clouds,-22.67,167.48,Hotel Kou-Bugny
261,Richards Bay,ZA,72.03,clear sky,-28.78,32.04,BON Hotel Waterfront Richards Bay
262,Salalah,OM,71.6,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
265,Pontes E Lacerda,BR,73.45,overcast clouds,-15.23,-59.34,Hotel Bressan
266,Huarmey,PE,70.5,overcast clouds,-10.07,-78.15,Hotel Miramar
267,Basoko,CD,72.99,overcast clouds,1.24,23.62,Flat Hotel La Benediction
269,Alanya,TR,57.2,light rain,36.54,32.0,Panorama Hotel
272,Guasdualito,VE,75.36,overcast clouds,7.24,-70.73,Hotel Cuibas
282,Vaitape,PF,81.99,broken clouds,-16.52,-151.75,Conrad Bora Bora Nui
283,Mangrol,IN,57.88,clear sky,21.12,70.12,Hotel The Royal Honours
292,Empalme,MX,64.4,fog,27.97,-110.82,El Limonal
293,Gelemso,ET,54.88,broken clouds,8.82,40.52,Bahar Lami
295,Yulara,AU,77.0,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
298,Kaya,BF,66.76,clear sky,13.09,-1.08,Maison de l'appelé
299,Choix,MX,68.29,overcast clouds,26.71,-108.32,Hotel Montesclaros
301,Faanui,PF,81.07,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
306,Beira,MZ,82.4,scattered clouds,-19.84,34.84,Beira Terrace Hotel
307,Katherine,AU,82.4,broken clouds,-14.47,132.27,Pine Tree Motel
310,Nantucket,US,48.2,overcast clouds,41.28,-70.1,Jared Coffin House
312,Tocopilla,CL,69.51,few clouds,-22.09,-70.2,Hotel Galvarino
313,Ribeira Grande,PT,58.08,overcast clouds,38.52,-28.7,Quinta da Meia Eira
316,Constantine,DZ,46.4,scattered clouds,36.37,6.61,Grand Hotel Cirta
317,Yeppoon,AU,86.0,scattered clouds,-23.13,150.73,Villa Mar Colina
319,Hambantota,LK,73.4,few clouds,6.12,81.12,Bungalow 63
322,Athens,GR,57.0,broken clouds,37.98,23.72,Novotel Athenes
323,Sao Filipe,CV,74.71,scattered clouds,14.9,-24.5,Tortuga B&B
324,Myitkyina,MM,52.5,clear sky,25.38,97.4,Shwe Phyu Hotel
325,Srikakulam,IN,62.73,clear sky,18.3,83.9,Sriram residency
328,Cockburn Town,TC,77.0,scattered clouds,21.46,-71.14,Osprey Beach Hotel
329,Coquimbo,CL,60.8,few clouds,-29.95,-71.34,Hotel San Juan
331,Diamantino,BR,74.5,scattered clouds,-14.41,-56.45,Hotel Delta
336,Arlit,NE,61.11,clear sky,18.74,7.39,Hôtel Telwa Bungalow
338,Sinnamary,GF,78.28,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
339,Ponta Delgada,PT,55.4,broken clouds,37.73,-25.67,Vila Nova Hotel
340,Faya,SA,51.8,clear sky,18.39,42.45,مقبرة ال مجمل
342,Port Blair,IN,78.8,mist,11.67,92.75,Welcomhotel Bay Island Port Blair
343,Pacific Grove,US,53.6,few clouds,36.62,-121.92,Lovers Point Inn
345,Celestun,MX,71.49,clear sky,20.87,-90.4,Posada Lilia
347,Oyama,JP,50.0,broken clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
348,Noumea,NC,86.0,broken clouds,-22.28,166.46,Hôtel Le Lagon
350,Knysna,ZA,64.4,overcast clouds,-34.04,23.05,Protea Hotel by Marriott Knysna Quays
351,Charleston,US,55.0,clear sky,32.78,-79.93,French Quarter Inn
352,Piquete,BR,68.0,moderate rain,-22.61,-45.18,Julimar Eventos - Antiga Fazenda Santa Lidia
